Date,Distance,Minutes,Seconds,Avg Pace,Avg HR,RPE,Notes
2023-01-01,5.2,30,15,5:49,145,6,Easy run to start the year
2023-01-03,8.4,48,30,5:46,152,7,Hill repeats
2023-01-05,4.1,22,45,5:33,148,5,Recovery run
2023-01-08,12.3,72,10,5:52,155,8,Long run
2023-01-10,6.5,35,20,5:26,150,6,Tempo run
2023-01-12,5.0,28,45,5:45,146,5,Easy run
2023-01-15,14.2,85,30,6:01,158,9,Long run with hills
2023-01-17,7.3,40,15,5:31,153,7,Intervals
2023-01-19,5.5,31,40,5:45,147,6,Easy recovery
2023-01-22,16.1,98,20,6:06,156,8,Long run
2023-01-24,8.2,44,50,5:28,154,7,Tempo run
2023-01-26,6.0,34,10,5:42,149,6,Easy run
2023-01-29,18.5,114,45,6:12,160,9,Long run
2023-01-31,7.8,42,30,5:27,155,7,Speed work
2023-02-02,5.5,31,15,5:41,148,6,Recovery run
2023-02-05,20.1,125,30,6:14,162,9,Long run
2023-02-07,8.5,46,20,5:27,156,7,Tempo run
2023-02-09,6.2,35,45,5:46,150,6,Easy run
2023-02-12,15.3,92,10,6:01,158,8,Long run
2023-02-14,7.5,41,30,5:32,154,7,Intervals
2023-02-16,5.8,33,20,5:45,149,6,Recovery run
2023-02-19,21.1,132,45,6:17,163,10,Half marathon
2023-02-21,5.0,30,0,6:00,145,5,Recovery run
2023-02-23,7.2,40,10,5:35,152,6,Easy run
2023-02-26,12.5,74,30,5:58,156,7,Medium long run
2023-02-28,8.0,43,45,5:28,155,7,Tempo run
2023-03-02,6.5,37,20,5:44,151,6,Easy run
2023-03-05,22.5,140,15,6:14,165,9,Long run
2023-03-07,8.8,48,30,5:31,157,7,Speed work
2023-03-09,6.0,34,45,5:48,150,6,Recovery run
2023-03-12,16.2,98,10,6:03,159,8,Long run
2023-03-14,9.2,50,30,5:29,158,7,Tempo run
2023-03-16,7.0,40,0,5:43,152,6,Easy run
2023-03-19,24.5,155,20,6:20,167,10,Long run
2023-03-21,6.5,38,10,5:52,151,6,Recovery run
2023-03-23,8.5,47,30,5:35,156,7,Intervals
2023-03-26,18.0,110,45,6:09,160,8,Long run
2023-03-28,9.5,52,15,5:30,158,7,Tempo run
2023-03-30,7.2,41,30,5:46,153,6,Easy run
2023-04-02,20.65,126,0,6:06,162,9,Long run with negative splits
2023-04-04,8.0,44,15,5:32,155,7,Speed work
2023-04-06,6.5,37,30,5:46,151,6,Recovery run
2023-04-09,15.8,96,45,6:07,158,8,Long run
2023-04-11,9.0,49,20,5:29,157,7,Tempo run
2023-04-13,7.5,43,0,5:44,153,6,Easy run
2023-04-16,20.31,124,45,6:08,163,9,Long run
2023-04-18,6.0,35,10,5:52,150,6,Recovery run
2023-04-20,8.2,45,30,5:33,156,7,Intervals
2023-04-23,5.29,30,45,5:49,149,5,Easy run, no real pains, some niggling aches here and there, but overall easy run, no pains during social after too

